model	score_type	score_value	proteina	proteinb
lightdock	luciferin_score	5.29906	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.03507	2UUY_rec	2UUY_lig
lightdock	luciferin_score	4.97525	2UUY_rec	2UUY_lig
lightdock	luciferin_score	4.25688	2UUY_rec	2UUY_lig
lightdock	luciferin_score	3.78678	2UUY_rec	2UUY_lig
lightdock	luciferin_score	1.88068	2UUY_rec	2UUY_lig
lightdock	luciferin_score	1.64165	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.98414	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.07605	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-0.84879	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-1.6234	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-6.09955	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-6.42007	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-12.19977	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-12.38449	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-18.04199	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-19.31904	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-20.16397	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-27.53307	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-31.2512	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-36.3018	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-44.29928	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-44.78722	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-48.9216	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-79.71002	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-110.76787	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.3376	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.82116	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.7966	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.72923	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.70944	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.68897	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.12037	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.03479	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.02706	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.8519	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.62695	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.60767	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.53566	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.30928	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.88583	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.8288	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.79043	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.7659	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.68164	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.47875	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.46675	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.41827	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.37959	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.79858	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.5563	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.53844	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.42864	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.18598	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.95711	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.68495	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.66406	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.4532	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.32519	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.30458	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.26012	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.75481	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.71268	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.68609	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.66156	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.27392	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.23743	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.72145	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.62918	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.52485	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.43671	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.06144	2UUY_rec	2UUY_lig
lightdock	luciferin_score	3.47787	2UUY_rec	2UUY_lig
lightdock	luciferin_score	2.05735	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.99774	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.94409	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.77383	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-0.23995	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-1.76216	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-2.4908	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-12.36024	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-14.73193	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-29.01611	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-35.05111	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-50.05214	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.49322	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.33582	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.31381	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.61406	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.69929	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.55485	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.34687	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.21196	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.75062	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.72889	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.69101	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.57861	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.5182	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.40825	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.74194	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.69982	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.5253	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.40711	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.3232	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.30969	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.25327	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.21667	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.12838	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.96142	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.92206	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.9199	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.88153	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.81768	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.76951	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.6578	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.65495	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.37036	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.26465	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.22658	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.0355	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.97833	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.89006	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.52365	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.37415	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.29927	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.20101	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.81657	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.35107	2UUY_rec	2UUY_lig
lightdock	luciferin_score	4.53593	2UUY_rec	2UUY_lig
lightdock	luciferin_score	4.32287	2UUY_rec	2UUY_lig
lightdock	luciferin_score	1.86064	2UUY_rec	2UUY_lig
lightdock	luciferin_score	1.17751	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.97788	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-0.08872	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-1.2125	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-4.61606	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-5.33322	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-5.33473	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-5.55833	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-6.48098	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-6.73396	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-8.02337	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-8.45796	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-11.07864	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-18.61074	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-18.9668	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-20.0944	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-20.18072	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-26.18919	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-31.66754	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-33.19064	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-58.95036	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-63.46539	2UUY_rec	2UUY_lig
lightdock	luciferin_score	13.30546	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.71582	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.7121	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.36986	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.24192	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.05641	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.94107	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.77608	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.70483	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.47001	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.09538	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.71497	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.65998	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.5087	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.31203	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.16403	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.04926	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.78162	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.68403	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.6161	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.26006	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.19496	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.00379	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.64123	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.61345	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.34002	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.51978	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.50184	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.44079	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.94671	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.79739	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.7785	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.66316	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.52496	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.49791	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.21294	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.18095	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.79131	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.5941	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.16905	2UUY_rec	2UUY_lig
lightdock	luciferin_score	4.73495	2UUY_rec	2UUY_lig
lightdock	luciferin_score	4.38353	2UUY_rec	2UUY_lig
lightdock	luciferin_score	3.61366	2UUY_rec	2UUY_lig
lightdock	luciferin_score	3.32916	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.50007	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.17954	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-0.63361	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-1.01531	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-1.48839	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-2.72098	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-3.3654	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-7.04774	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-10.16192	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-12.49913	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-13.64914	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-21.6794	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-25.59132	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-28.701	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-36.94868	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-48.58317	2UUY_rec	2UUY_lig
lightdock	luciferin_score	19.16497	2UUY_rec	2UUY_lig
lightdock	luciferin_score	18.54267	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.94059	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.70393	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.29916	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.42274	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.34298	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.38593	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.34691	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.31471	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.06848	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.91123	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.86445	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.71628	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.59157	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.56276	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.4319	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.34672	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.85132	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.63527	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.45432	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.45342	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.27278	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.92545	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.77815	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.64365	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.59653	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.56825	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.38445	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.32571	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.1245	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.07374	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.01939	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.76474	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.50109	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.26534	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.02717	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.8134	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.18319	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.4796	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.34672	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.32604	2UUY_rec	2UUY_lig
lightdock	luciferin_score	3.50162	2UUY_rec	2UUY_lig
lightdock	luciferin_score	2.30704	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.79444	2UUY_rec	2UUY_lig
lightdock	luciferin_score	0.31231	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-1.73979	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-3.43924	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-6.79703	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-7.25103	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-10.50077	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-15.80012	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-17.68655	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-20.4312	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-21.87443	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-25.32102	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-30.17437	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-31.50662	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-36.43905	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-53.24081	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-64.76308	2UUY_rec	2UUY_lig
lightdock	luciferin_score	-71.9466	2UUY_rec	2UUY_lig
lightdock	luciferin_score	16.89438	2UUY_rec	2UUY_lig
lightdock	luciferin_score	15.35522	2UUY_rec	2UUY_lig
lightdock	luciferin_score	15.29382	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.89604	2UUY_rec	2UUY_lig
lightdock	luciferin_score	14.55179	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.57906	2UUY_rec	2UUY_lig
lightdock	luciferin_score	12.32912	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.85285	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.79175	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.61294	2UUY_rec	2UUY_lig
lightdock	luciferin_score	11.02868	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.5777	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.57679	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.43968	2UUY_rec	2UUY_lig
lightdock	luciferin_score	10.37434	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.9085	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.80816	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.70498	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.62296	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.54169	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.51446	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.20551	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.18188	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.18172	2UUY_rec	2UUY_lig
lightdock	luciferin_score	9.14147	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.89199	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.6802	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.665	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.50921	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.40779	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.01219	2UUY_rec	2UUY_lig
lightdock	luciferin_score	8.01202	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.80521	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.69278	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.36576	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.23528	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.20495	2UUY_rec	2UUY_lig
lightdock	luciferin_score	7.18918	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.86432	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.85419	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.80172	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.76257	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.38321	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.2807	2UUY_rec	2UUY_lig
lightdock	luciferin_score	6.2767	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.99233	2UUY_rec	2UUY_lig
lightdock	luciferin_score	5.9391	2UUY_rec	2UUY_lig
lightdock	luciferin_score	2.99392	2UUY_rec	2UUY_lig
