model	score_type	score_value	proteinA	proteinB	swarm	cluster_id	cluster_pop	source
lightdock	luciferin_score	9.62647	2UUY_rec	2UUY_lig	swarm_0	25.0	2.0	
lightdock	luciferin_score	9.56513	2UUY_rec	2UUY_lig	swarm_0	26.0	6.0	
lightdock	luciferin_score	9.08329	2UUY_rec	2UUY_lig	swarm_0	27.0	1.0	
lightdock	luciferin_score	8.87479	2UUY_rec	2UUY_lig	swarm_0	28.0	3.0	
lightdock	luciferin_score	7.95412	2UUY_rec	2UUY_lig	swarm_0	29.0	1.0	
lightdock	luciferin_score	7.8194	2UUY_rec	2UUY_lig	swarm_0	30.0	1.0	
lightdock	luciferin_score	7.56254	2UUY_rec	2UUY_lig	swarm_0	31.0	8.0	
lightdock	luciferin_score	6.75114	2UUY_rec	2UUY_lig	swarm_0	32.0	1.0	
lightdock	luciferin_score	6.57414	2UUY_rec	2UUY_lig	swarm_0	33.0	1.0	
lightdock	luciferin_score	4.63929	2UUY_rec	2UUY_lig	swarm_0	34.0	2.0	
lightdock	luciferin_score	1.76024	2UUY_rec	2UUY_lig	swarm_0	35.0	1.0	
lightdock	luciferin_score	0.92829	2UUY_rec	2UUY_lig	swarm_0	36.0	3.0	
lightdock	luciferin_score	0.76962	2UUY_rec	2UUY_lig	swarm_0	37.0	2.0	
lightdock	luciferin_score	0.33319	2UUY_rec	2UUY_lig	swarm_0	38.0	2.0	
lightdock	luciferin_score	0.18861	2UUY_rec	2UUY_lig	swarm_0	39.0	1.0	
lightdock	luciferin_score	-1.98394	2UUY_rec	2UUY_lig	swarm_0	40.0	1.0	
lightdock	luciferin_score	-3.75139	2UUY_rec	2UUY_lig	swarm_0	41.0	2.0	
lightdock	luciferin_score	-4.29756	2UUY_rec	2UUY_lig	swarm_0	42.0	2.0	
lightdock	luciferin_score	-4.5803	2UUY_rec	2UUY_lig	swarm_0	43.0	2.0	
lightdock	luciferin_score	-7.35249	2UUY_rec	2UUY_lig	swarm_0	44.0	4.0	
lightdock	luciferin_score	-7.83683	2UUY_rec	2UUY_lig	swarm_0	45.0	1.0	
lightdock	luciferin_score	-8.4979	2UUY_rec	2UUY_lig	swarm_0	46.0	3.0	
lightdock	luciferin_score	-8.96204	2UUY_rec	2UUY_lig	swarm_0	47.0	1.0	
lightdock	luciferin_score	-9.9135	2UUY_rec	2UUY_lig	swarm_0	48.0	2.0	
lightdock	luciferin_score	-13.73719	2UUY_rec	2UUY_lig	swarm_0	49.0	3.0	
lightdock	luciferin_score	-14.80364	2UUY_rec	2UUY_lig	swarm_0	50.0	5.0	
lightdock	luciferin_score	-15.25085	2UUY_rec	2UUY_lig	swarm_0	51.0	1.0	
lightdock	luciferin_score	-19.12565	2UUY_rec	2UUY_lig	swarm_0	52.0	4.0	
lightdock	luciferin_score	-31.27892	2UUY_rec	2UUY_lig	swarm_0	53.0	2.0	
lightdock	luciferin_score	-31.61555	2UUY_rec	2UUY_lig	swarm_0	54.0	1.0	
lightdock	luciferin_score	-37.05521	2UUY_rec	2UUY_lig	swarm_0	55.0	1.0	
lightdock	luciferin_score	-42.02268	2UUY_rec	2UUY_lig	swarm_0	56.0	1.0	
lightdock	luciferin_score	-45.58809	2UUY_rec	2UUY_lig	swarm_0	57.0	1.0	
lightdock	luciferin_score	-47.96937	2UUY_rec	2UUY_lig	swarm_0	58.0	1.0	
lightdock	luciferin_score	-50.51865	2UUY_rec	2UUY_lig	swarm_0	59.0	2.0	
lightdock	luciferin_score	-52.67933	2UUY_rec	2UUY_lig	swarm_0	60.0	1.0	
lightdock	luciferin_score	-62.78813	2UUY_rec	2UUY_lig	swarm_0	61.0	2.0	
lightdock	luciferin_score	-67.9376	2UUY_rec	2UUY_lig	swarm_0	62.0	1.0	
lightdock	luciferin_score	16.16376	2UUY_rec	2UUY_lig	swarm_1	0.0	7.0	
lightdock	luciferin_score	16.08151	2UUY_rec	2UUY_lig	swarm_1	1.0	9.0	
lightdock	luciferin_score	16.0444	2UUY_rec	2UUY_lig	swarm_1	2.0	3.0	
lightdock	luciferin_score	15.83962	2UUY_rec	2UUY_lig	swarm_1	3.0	5.0	
lightdock	luciferin_score	15.01838	2UUY_rec	2UUY_lig	swarm_1	4.0	1.0	
lightdock	luciferin_score	14.75358	2UUY_rec	2UUY_lig	swarm_1	5.0	5.0	
lightdock	luciferin_score	14.63722	2UUY_rec	2UUY_lig	swarm_1	6.0	4.0	
lightdock	luciferin_score	14.46803	2UUY_rec	2UUY_lig	swarm_1	7.0	5.0	
lightdock	luciferin_score	14.34684	2UUY_rec	2UUY_lig	swarm_1	8.0	7.0	
lightdock	luciferin_score	14.12644	2UUY_rec	2UUY_lig	swarm_1	9.0	7.0	
lightdock	luciferin_score	13.43761	2UUY_rec	2UUY_lig	swarm_1	10.0	6.0	
lightdock	luciferin_score	12.98296	2UUY_rec	2UUY_lig	swarm_1	11.0	6.0	
lightdock	luciferin_score	12.44282	2UUY_rec	2UUY_lig	swarm_1	12.0	9.0	
lightdock	luciferin_score	12.40808	2UUY_rec	2UUY_lig	swarm_1	13.0	3.0	
lightdock	luciferin_score	12.36476	2UUY_rec	2UUY_lig	swarm_1	14.0	6.0	
lightdock	luciferin_score	12.25962	2UUY_rec	2UUY_lig	swarm_1	15.0	6.0	
lightdock	luciferin_score	12.2401	2UUY_rec	2UUY_lig	swarm_1	16.0	4.0	
lightdock	luciferin_score	11.78842	2UUY_rec	2UUY_lig	swarm_1	17.0	4.0	
lightdock	luciferin_score	11.67405	2UUY_rec	2UUY_lig	swarm_1	18.0	1.0	
lightdock	luciferin_score	11.65265	2UUY_rec	2UUY_lig	swarm_1	19.0	6.0	
lightdock	luciferin_score	11.54573	2UUY_rec	2UUY_lig	swarm_1	20.0	5.0	
lightdock	luciferin_score	11.54512	2UUY_rec	2UUY_lig	swarm_1	21.0	4.0	
lightdock	luciferin_score	11.51968	2UUY_rec	2UUY_lig	swarm_1	22.0	2.0	
lightdock	luciferin_score	11.14462	2UUY_rec	2UUY_lig	swarm_1	23.0	7.0	
lightdock	luciferin_score	10.5947	2UUY_rec	2UUY_lig	swarm_1	24.0	3.0	
lightdock	luciferin_score	10.00319	2UUY_rec	2UUY_lig	swarm_1	25.0	3.0	
lightdock	luciferin_score	9.9487	2UUY_rec	2UUY_lig	swarm_1	26.0	2.0	
lightdock	luciferin_score	9.61494	2UUY_rec	2UUY_lig	swarm_1	27.0	1.0	
lightdock	luciferin_score	9.52849	2UUY_rec	2UUY_lig	swarm_1	28.0	2.0	
lightdock	luciferin_score	9.44613	2UUY_rec	2UUY_lig	swarm_1	29.0	4.0	
lightdock	luciferin_score	8.55343	2UUY_rec	2UUY_lig	swarm_1	30.0	1.0	
lightdock	luciferin_score	8.53149	2UUY_rec	2UUY_lig	swarm_1	31.0	1.0	
lightdock	luciferin_score	6.4804	2UUY_rec	2UUY_lig	swarm_1	32.0	1.0	
lightdock	luciferin_score	5.70507	2UUY_rec	2UUY_lig	swarm_1	33.0	4.0	
lightdock	luciferin_score	5.29906	2UUY_rec	2UUY_lig	swarm_1	34.0	1.0	
lightdock	luciferin_score	5.03507	2UUY_rec	2UUY_lig	swarm_1	35.0	2.0	
lightdock	luciferin_score	4.97525	2UUY_rec	2UUY_lig	swarm_1	36.0	3.0	
lightdock	luciferin_score	4.25688	2UUY_rec	2UUY_lig	swarm_1	37.0	2.0	
lightdock	luciferin_score	3.78678	2UUY_rec	2UUY_lig	swarm_1	38.0	4.0	
lightdock	luciferin_score	1.88068	2UUY_rec	2UUY_lig	swarm_1	39.0	1.0	
lightdock	luciferin_score	1.64165	2UUY_rec	2UUY_lig	swarm_1	40.0	2.0	
lightdock	luciferin_score	0.98414	2UUY_rec	2UUY_lig	swarm_1	41.0	1.0	
lightdock	luciferin_score	0.07605	2UUY_rec	2UUY_lig	swarm_1	42.0	3.0	
lightdock	luciferin_score	-0.84879	2UUY_rec	2UUY_lig	swarm_1	43.0	4.0	
lightdock	luciferin_score	-1.6234	2UUY_rec	2UUY_lig	swarm_1	44.0	1.0	
lightdock	luciferin_score	-6.09955	2UUY_rec	2UUY_lig	swarm_1	45.0	1.0	
lightdock	luciferin_score	-6.42007	2UUY_rec	2UUY_lig	swarm_1	46.0	4.0	
lightdock	luciferin_score	-12.19977	2UUY_rec	2UUY_lig	swarm_1	47.0	8.0	
lightdock	luciferin_score	-12.38449	2UUY_rec	2UUY_lig	swarm_1	48.0	1.0	
lightdock	luciferin_score	-18.04199	2UUY_rec	2UUY_lig	swarm_1	49.0	1.0	
lightdock	luciferin_score	-19.31904	2UUY_rec	2UUY_lig	swarm_1	50.0	1.0	
lightdock	luciferin_score	-20.16397	2UUY_rec	2UUY_lig	swarm_1	51.0	3.0	
lightdock	luciferin_score	-27.53307	2UUY_rec	2UUY_lig	swarm_1	52.0	2.0	
lightdock	luciferin_score	-31.2512	2UUY_rec	2UUY_lig	swarm_1	53.0	1.0	
lightdock	luciferin_score	-36.3018	2UUY_rec	2UUY_lig	swarm_1	54.0	2.0	
lightdock	luciferin_score	-44.29928	2UUY_rec	2UUY_lig	swarm_1	55.0	4.0	
lightdock	luciferin_score	-44.78722	2UUY_rec	2UUY_lig	swarm_1	56.0	1.0	
lightdock	luciferin_score	-48.9216	2UUY_rec	2UUY_lig	swarm_1	57.0	1.0	
lightdock	luciferin_score	-79.71002	2UUY_rec	2UUY_lig	swarm_1	58.0	1.0	
lightdock	luciferin_score	-110.76787	2UUY_rec	2UUY_lig	swarm_1	59.0	1.0	
lightdock	luciferin_score	13.3376	2UUY_rec	2UUY_lig	swarm_10	0.0	6.0	
lightdock	luciferin_score	12.82116	2UUY_rec	2UUY_lig	swarm_10	1.0	1.0	
lightdock	luciferin_score	11.7966	2UUY_rec	2UUY_lig	swarm_10	2.0	3.0	
lightdock	luciferin_score	11.72923	2UUY_rec	2UUY_lig	swarm_10	3.0	10.0	
lightdock	luciferin_score	11.70944	2UUY_rec	2UUY_lig	swarm_10	4.0	10.0	
lightdock	luciferin_score	11.68897	2UUY_rec	2UUY_lig	swarm_10	5.0	3.0	
lightdock	luciferin_score	11.12037	2UUY_rec	2UUY_lig	swarm_10	6.0	8.0	
lightdock	luciferin_score	11.03479	2UUY_rec	2UUY_lig	swarm_10	7.0	3.0	
lightdock	luciferin_score	11.02706	2UUY_rec	2UUY_lig	swarm_10	8.0	5.0	
lightdock	luciferin_score	10.8519	2UUY_rec	2UUY_lig	swarm_10	9.0	3.0	
lightdock	luciferin_score	10.62695	2UUY_rec	2UUY_lig	swarm_10	10.0	10.0	
lightdock	luciferin_score	10.60767	2UUY_rec	2UUY_lig	swarm_10	11.0	8.0	
lightdock	luciferin_score	10.53566	2UUY_rec	2UUY_lig	swarm_10	12.0	10.0	
lightdock	luciferin_score	10.30928	2UUY_rec	2UUY_lig	swarm_10	13.0	6.0	
lightdock	luciferin_score	9.88583	2UUY_rec	2UUY_lig	swarm_10	14.0	9.0	
lightdock	luciferin_score	9.8288	2UUY_rec	2UUY_lig	swarm_10	15.0	2.0	
lightdock	luciferin_score	9.79043	2UUY_rec	2UUY_lig	swarm_10	16.0	8.0	
lightdock	luciferin_score	9.7659	2UUY_rec	2UUY_lig	swarm_10	17.0	2.0	
lightdock	luciferin_score	9.68164	2UUY_rec	2UUY_lig	swarm_10	18.0	2.0	
lightdock	luciferin_score	9.47875	2UUY_rec	2UUY_lig	swarm_10	19.0	4.0	
lightdock	luciferin_score	9.46675	2UUY_rec	2UUY_lig	swarm_10	20.0	5.0	
lightdock	luciferin_score	9.41827	2UUY_rec	2UUY_lig	swarm_10	21.0	1.0	
lightdock	luciferin_score	9.37959	2UUY_rec	2UUY_lig	swarm_10	22.0	3.0	
lightdock	luciferin_score	8.79858	2UUY_rec	2UUY_lig	swarm_10	23.0	2.0	
lightdock	luciferin_score	8.5563	2UUY_rec	2UUY_lig	swarm_10	24.0	2.0	
lightdock	luciferin_score	8.53844	2UUY_rec	2UUY_lig	swarm_10	25.0	2.0	
lightdock	luciferin_score	8.42864	2UUY_rec	2UUY_lig	swarm_10	26.0	1.0	
lightdock	luciferin_score	8.18598	2UUY_rec	2UUY_lig	swarm_10	27.0	2.0	
lightdock	luciferin_score	7.95711	2UUY_rec	2UUY_lig	swarm_10	28.0	2.0	
lightdock	luciferin_score	7.68495	2UUY_rec	2UUY_lig	swarm_10	29.0	5.0	
lightdock	luciferin_score	7.66406	2UUY_rec	2UUY_lig	swarm_10	30.0	2.0	
lightdock	luciferin_score	7.4532	2UUY_rec	2UUY_lig	swarm_10	31.0	1.0	
lightdock	luciferin_score	7.32519	2UUY_rec	2UUY_lig	swarm_10	32.0	2.0	
lightdock	luciferin_score	7.30458	2UUY_rec	2UUY_lig	swarm_10	33.0	2.0	
lightdock	luciferin_score	7.26012	2UUY_rec	2UUY_lig	swarm_10	34.0	1.0	
lightdock	luciferin_score	6.75481	2UUY_rec	2UUY_lig	swarm_10	35.0	1.0	
lightdock	luciferin_score	6.71268	2UUY_rec	2UUY_lig	swarm_10	36.0	1.0	
lightdock	luciferin_score	6.68609	2UUY_rec	2UUY_lig	swarm_10	37.0	2.0	
lightdock	luciferin_score	6.66156	2UUY_rec	2UUY_lig	swarm_10	38.0	2.0	
lightdock	luciferin_score	6.27392	2UUY_rec	2UUY_lig	swarm_10	39.0	5.0	
lightdock	luciferin_score	6.23743	2UUY_rec	2UUY_lig	swarm_10	40.0	2.0	
lightdock	luciferin_score	5.72145	2UUY_rec	2UUY_lig	swarm_10	41.0	2.0	
lightdock	luciferin_score	5.62918	2UUY_rec	2UUY_lig	swarm_10	42.0	1.0	
lightdock	luciferin_score	5.52485	2UUY_rec	2UUY_lig	swarm_10	43.0	2.0	
lightdock	luciferin_score	5.43671	2UUY_rec	2UUY_lig	swarm_10	44.0	4.0	
lightdock	luciferin_score	5.06144	2UUY_rec	2UUY_lig	swarm_10	45.0	5.0	
lightdock	luciferin_score	3.47787	2UUY_rec	2UUY_lig	swarm_10	46.0	2.0	
lightdock	luciferin_score	2.05735	2UUY_rec	2UUY_lig	swarm_10	47.0	3.0	
lightdock	luciferin_score	0.99774	2UUY_rec	2UUY_lig	swarm_10	48.0	1.0	
lightdock	luciferin_score	0.94409	2UUY_rec	2UUY_lig	swarm_10	49.0	1.0	
lightdock	luciferin_score	0.77383	2UUY_rec	2UUY_lig	swarm_10	50.0	3.0	
lightdock	luciferin_score	-0.23995	2UUY_rec	2UUY_lig	swarm_10	51.0	2.0	
lightdock	luciferin_score	-1.76216	2UUY_rec	2UUY_lig	swarm_10	52.0	1.0	
lightdock	luciferin_score	-2.4908	2UUY_rec	2UUY_lig	swarm_10	53.0	3.0	
lightdock	luciferin_score	-12.36024	2UUY_rec	2UUY_lig	swarm_10	54.0	2.0	
lightdock	luciferin_score	-14.73193	2UUY_rec	2UUY_lig	swarm_10	55.0	6.0	
lightdock	luciferin_score	-29.01611	2UUY_rec	2UUY_lig	swarm_10	56.0	1.0	
lightdock	luciferin_score	-35.05111	2UUY_rec	2UUY_lig	swarm_10	57.0	1.0	
lightdock	luciferin_score	-50.05214	2UUY_rec	2UUY_lig	swarm_10	58.0	1.0	
lightdock	luciferin_score	13.49322	2UUY_rec	2UUY_lig	swarm_100	0.0	6.0	
lightdock	luciferin_score	13.33582	2UUY_rec	2UUY_lig	swarm_100	1.0	5.0	
lightdock	luciferin_score	13.31381	2UUY_rec	2UUY_lig	swarm_100	2.0	15.0	
lightdock	luciferin_score	11.61406	2UUY_rec	2UUY_lig	swarm_100	3.0	2.0	
lightdock	luciferin_score	10.69929	2UUY_rec	2UUY_lig	swarm_100	4.0	4.0	
lightdock	luciferin_score	10.55485	2UUY_rec	2UUY_lig	swarm_100	5.0	5.0	
lightdock	luciferin_score	10.34687	2UUY_rec	2UUY_lig	swarm_100	6.0	4.0	
lightdock	luciferin_score	10.21196	2UUY_rec	2UUY_lig	swarm_100	7.0	3.0	
lightdock	luciferin_score	9.75062	2UUY_rec	2UUY_lig	swarm_100	8.0	8.0	
lightdock	luciferin_score	9.72889	2UUY_rec	2UUY_lig	swarm_100	9.0	3.0	
lightdock	luciferin_score	9.69101	2UUY_rec	2UUY_lig	swarm_100	10.0	2.0	
lightdock	luciferin_score	9.57861	2UUY_rec	2UUY_lig	swarm_100	11.0	3.0	
lightdock	luciferin_score	9.5182	2UUY_rec	2UUY_lig	swarm_100	12.0	4.0	
lightdock	luciferin_score	9.40825	2UUY_rec	2UUY_lig	swarm_100	13.0	1.0	
lightdock	luciferin_score	8.74194	2UUY_rec	2UUY_lig	swarm_100	14.0	5.0	
lightdock	luciferin_score	8.69982	2UUY_rec	2UUY_lig	swarm_100	15.0	4.0	
lightdock	luciferin_score	8.5253	2UUY_rec	2UUY_lig	swarm_100	16.0	2.0	
lightdock	luciferin_score	8.40711	2UUY_rec	2UUY_lig	swarm_100	17.0	6.0	
lightdock	luciferin_score	8.3232	2UUY_rec	2UUY_lig	swarm_100	18.0	6.0	
lightdock	luciferin_score	8.30969	2UUY_rec	2UUY_lig	swarm_100	19.0	1.0	
lightdock	luciferin_score	8.25327	2UUY_rec	2UUY_lig	swarm_100	20.0	8.0	
lightdock	luciferin_score	8.21667	2UUY_rec	2UUY_lig	swarm_100	21.0	1.0	
lightdock	luciferin_score	8.12838	2UUY_rec	2UUY_lig	swarm_100	22.0	2.0	
lightdock	luciferin_score	7.96142	2UUY_rec	2UUY_lig	swarm_100	23.0	1.0	
lightdock	luciferin_score	7.92206	2UUY_rec	2UUY_lig	swarm_100	24.0	7.0	
lightdock	luciferin_score	7.9199	2UUY_rec	2UUY_lig	swarm_100	25.0	1.0	
lightdock	luciferin_score	7.88153	2UUY_rec	2UUY_lig	swarm_100	26.0	2.0	
lightdock	luciferin_score	7.81768	2UUY_rec	2UUY_lig	swarm_100	27.0	2.0	
lightdock	luciferin_score	7.76951	2UUY_rec	2UUY_lig	swarm_100	28.0	4.0	
lightdock	luciferin_score	7.6578	2UUY_rec	2UUY_lig	swarm_100	29.0	1.0	
lightdock	luciferin_score	7.65495	2UUY_rec	2UUY_lig	swarm_100	30.0	2.0	
lightdock	luciferin_score	7.37036	2UUY_rec	2UUY_lig	swarm_100	31.0	1.0	
lightdock	luciferin_score	7.26465	2UUY_rec	2UUY_lig	swarm_100	32.0	1.0	
lightdock	luciferin_score	7.22658	2UUY_rec	2UUY_lig	swarm_100	33.0	5.0	
lightdock	luciferin_score	7.0355	2UUY_rec	2UUY_lig	swarm_100	34.0	1.0	
lightdock	luciferin_score	6.97833	2UUY_rec	2UUY_lig	swarm_100	35.0	2.0	
lightdock	luciferin_score	6.89006	2UUY_rec	2UUY_lig	swarm_100	36.0	1.0	
lightdock	luciferin_score	6.52365	2UUY_rec	2UUY_lig	swarm_100	37.0	2.0	
lightdock	luciferin_score	6.37415	2UUY_rec	2UUY_lig	swarm_100	38.0	2.0	
lightdock	luciferin_score	6.29927	2UUY_rec	2UUY_lig	swarm_100	39.0	2.0	
lightdock	luciferin_score	6.20101	2UUY_rec	2UUY_lig	swarm_100	40.0	2.0	
lightdock	luciferin_score	5.81657	2UUY_rec	2UUY_lig	swarm_100	41.0	1.0	
lightdock	luciferin_score	5.35107	2UUY_rec	2UUY_lig	swarm_100	42.0	1.0	
lightdock	luciferin_score	4.53593	2UUY_rec	2UUY_lig	swarm_100	43.0	1.0	
lightdock	luciferin_score	4.32287	2UUY_rec	2UUY_lig	swarm_100	44.0	1.0	
lightdock	luciferin_score	1.86064	2UUY_rec	2UUY_lig	swarm_100	45.0	5.0	
lightdock	luciferin_score	1.17751	2UUY_rec	2UUY_lig	swarm_100	46.0	1.0	
lightdock	luciferin_score	0.97788	2UUY_rec	2UUY_lig	swarm_100	47.0	3.0	
lightdock	luciferin_score	-0.08872	2UUY_rec	2UUY_lig	swarm_100	48.0	2.0	
lightdock	luciferin_score	-1.2125	2UUY_rec	2UUY_lig	swarm_100	49.0	4.0	
lightdock	luciferin_score	-4.61606	2UUY_rec	2UUY_lig	swarm_100	50.0	1.0	
lightdock	luciferin_score	-5.33322	2UUY_rec	2UUY_lig	swarm_100	51.0	1.0	
lightdock	luciferin_score	-5.33473	2UUY_rec	2UUY_lig	swarm_100	52.0	3.0	
lightdock	luciferin_score	-5.55833	2UUY_rec	2UUY_lig	swarm_100	53.0	4.0	
lightdock	luciferin_score	-6.48098	2UUY_rec	2UUY_lig	swarm_100	54.0	1.0	
lightdock	luciferin_score	-6.73396	2UUY_rec	2UUY_lig	swarm_100	55.0	8.0	
lightdock	luciferin_score	-8.02337	2UUY_rec	2UUY_lig	swarm_100	56.0	6.0	
lightdock	luciferin_score	-8.45796	2UUY_rec	2UUY_lig	swarm_100	57.0	4.0	
lightdock	luciferin_score	-11.07864	2UUY_rec	2UUY_lig	swarm_100	58.0	3.0	
lightdock	luciferin_score	-18.61074	2UUY_rec	2UUY_lig	swarm_100	59.0	1.0	
lightdock	luciferin_score	-18.9668	2UUY_rec	2UUY_lig	swarm_100	60.0	1.0	
lightdock	luciferin_score	-20.0944	2UUY_rec	2UUY_lig	swarm_100	61.0	1.0	
lightdock	luciferin_score	-20.18072	2UUY_rec	2UUY_lig	swarm_100	62.0	1.0	
lightdock	luciferin_score	-26.18919	2UUY_rec	2UUY_lig	swarm_100	63.0	1.0	
lightdock	luciferin_score	-31.66754	2UUY_rec	2UUY_lig	swarm_100	64.0	1.0	
lightdock	luciferin_score	-33.19064	2UUY_rec	2UUY_lig	swarm_100	65.0	1.0	
lightdock	luciferin_score	-58.95036	2UUY_rec	2UUY_lig	swarm_100	66.0	1.0	
lightdock	luciferin_score	-63.46539	2UUY_rec	2UUY_lig	swarm_100	67.0	3.0	
lightdock	luciferin_score	13.30546	2UUY_rec	2UUY_lig	swarm_101	0.0	4.0	
lightdock	luciferin_score	12.71582	2UUY_rec	2UUY_lig	swarm_101	1.0	8.0	
lightdock	luciferin_score	12.7121	2UUY_rec	2UUY_lig	swarm_101	2.0	3.0	
lightdock	luciferin_score	12.36986	2UUY_rec	2UUY_lig	swarm_101	3.0	4.0	
lightdock	luciferin_score	12.24192	2UUY_rec	2UUY_lig	swarm_101	4.0	6.0	
lightdock	luciferin_score	12.05641	2UUY_rec	2UUY_lig	swarm_101	5.0	8.0	
lightdock	luciferin_score	11.94107	2UUY_rec	2UUY_lig	swarm_101	6.0	3.0	
lightdock	luciferin_score	11.77608	2UUY_rec	2UUY_lig	swarm_101	7.0	5.0	
lightdock	luciferin_score	11.70483	2UUY_rec	2UUY_lig	swarm_101	8.0	6.0	
lightdock	luciferin_score	11.47001	2UUY_rec	2UUY_lig	swarm_101	9.0	5.0	
lightdock	luciferin_score	11.09538	2UUY_rec	2UUY_lig	swarm_101	10.0	3.0	
lightdock	luciferin_score	10.71497	2UUY_rec	2UUY_lig	swarm_101	11.0	6.0	
lightdock	luciferin_score	10.65998	2UUY_rec	2UUY_lig	swarm_101	12.0	3.0	
lightdock	luciferin_score	10.5087	2UUY_rec	2UUY_lig	swarm_101	13.0	2.0	
lightdock	luciferin_score	10.31203	2UUY_rec	2UUY_lig	swarm_101	14.0	12.0	
lightdock	luciferin_score	10.16403	2UUY_rec	2UUY_lig	swarm_101	15.0	8.0	
lightdock	luciferin_score	10.04926	2UUY_rec	2UUY_lig	swarm_101	16.0	6.0	
lightdock	luciferin_score	9.78162	2UUY_rec	2UUY_lig	swarm_101	17.0	2.0	
lightdock	luciferin_score	9.68403	2UUY_rec	2UUY_lig	swarm_101	18.0	3.0	
lightdock	luciferin_score	9.6161	2UUY_rec	2UUY_lig	swarm_101	19.0	3.0	
lightdock	luciferin_score	9.26006	2UUY_rec	2UUY_lig	swarm_101	20.0	1.0	
lightdock	luciferin_score	9.19496	2UUY_rec	2UUY_lig	swarm_101	21.0	1.0	
lightdock	luciferin_score	9.00379	2UUY_rec	2UUY_lig	swarm_101	22.0	3.0	
lightdock	luciferin_score	8.64123	2UUY_rec	2UUY_lig	swarm_101	23.0	1.0	
lightdock	luciferin_score	8.61345	2UUY_rec	2UUY_lig	swarm_101	24.0	1.0	
lightdock	luciferin_score	8.34002	2UUY_rec	2UUY_lig	swarm_101	25.0	1.0	
lightdock	luciferin_score	7.51978	2UUY_rec	2UUY_lig	swarm_101	26.0	3.0	
lightdock	luciferin_score	7.50184	2UUY_rec	2UUY_lig	swarm_101	27.0	2.0	
lightdock	luciferin_score	7.44079	2UUY_rec	2UUY_lig	swarm_101	28.0	3.0	
lightdock	luciferin_score	6.94671	2UUY_rec	2UUY_lig	swarm_101	29.0	2.0	
lightdock	luciferin_score	6.79739	2UUY_rec	2UUY_lig	swarm_101	30.0	1.0	
lightdock	luciferin_score	6.7785	2UUY_rec	2UUY_lig	swarm_101	31.0	1.0	
lightdock	luciferin_score	6.66316	2UUY_rec	2UUY_lig	swarm_101	32.0	3.0	
lightdock	luciferin_score	6.52496	2UUY_rec	2UUY_lig	swarm_101	33.0	4.0	
lightdock	luciferin_score	6.49791	2UUY_rec	2UUY_lig	swarm_101	34.0	5.0	
lightdock	luciferin_score	6.21294	2UUY_rec	2UUY_lig	swarm_101	35.0	1.0	
lightdock	luciferin_score	6.18095	2UUY_rec	2UUY_lig	swarm_101	36.0	2.0	
lightdock	luciferin_score	5.79131	2UUY_rec	2UUY_lig	swarm_101	37.0	2.0	
